stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5283,,Urquijo 68,,43.26139,-2.94213,,,0,
5284,,Arenal / Arriaga,,43.25949,-2.9241,,,0,
5285,,Gran Vía 62,,43.26435,-2.94085,,,0,
5286,,Gran Vía 8,,43.26179,-2.92925,,,0,
5287,,Vía Vieja De Lezama 2,,43.26265,-2.91521,,,0,
5288,,Eskurtze 10,,43.25191,-2.93843,,,0,
5289,,Trenbideko Etorbidea / Autonomía,,43.25744,-2.94608,,,0,
5290,,Peñascal 16 / Eliza,,43.24326,-2.94908,,,0,
5291,,Ribera De Deustu 3,,43.26601,-2.95375,,,0,
5292,,Autonomía 4,,43.25736,-2.93551,,,0,
5293,,Basurtu - Kastrexana 123,,43.26147,-2.95977,,,0,
5294,,Julián Gaiarre 39 / Artalandio,,43.25557,-2.90061,,,0,
5295,,Zumalacárregui / T. Zubiria,,43.26497,-2.9186,,,0,
5296,,Masustegi Estrata 3 Bis,,43.25583,-2.95383,,,0,
5297,,Urquijo 94,,43.26221,-2.94591,,,0,
5298,,Gernika 1,,43.25237,-2.93081,,,0,
5299,,Garaizar / Ikastola,,43.2615,-2.90483,,,0,
5300,,Gabriel Aresti / Anbulatorioa,,43.25745,-2.90718,,,0,
5301,,L. Aguirre 154,,43.27888,-2.96123,,,0,
5302,,Muelle De La Merced 3,,43.25707,-2.92708,,,0,
5303,,Santa Lucia 2,,43.2502658,-2.912654,,,0,
5304,,Julián Gaiarre 61,,43.25732,-2.89908,,,0,
5305,,Zorrotza - Kastrexana 77,,43.27223,-2.97414,,,0,
5306,,Langaran 44,,43.26046,-2.89791,,,0,
5307,,Ribera De Deustu 28,,43.26566,-2.95786,,,0,
5308,,Sarrikue,,43.26306,-2.91089,,,0,
5309,,Errekalde - Larraskitu / Iberdrola,,43.24489,-2.93368,,,0,
5310,,Ribera De Deustu 36,,43.26637,-2.95944,,,0,
5311,,Ibáñez De Bilbao 14,,43.26308,-2.92754,,,0,
5312,,Auntzetxeta 18,,43.25805,-2.95418,,,0,
5313,,Urazurrutia,,43.24903,-2.92148,,,0,
5314,,San Adrián 2,,43.24992,-2.9339,,,0,
5315,,Gregorio La Revilla 2,,43.26357,-2.93933,,,0,
5316,,Auntzetxeta 18,,43.25777,-2.95405,,,0,
5317,,Zumalacárregui 105,,43.26182,-2.91554,,,0,
5318,,San Nikolas Olabeaga 22,,43.26447,-2.95591,,,0,
5319,,Zizeruena / Eliza,,43.25972,-2.90048,,,0,
5320,,Gral. Concha 26,,43.25813,-2.93539,,,0,
5321,,Olabeaga / Dikea,,43.2653,-2.95229,,,0,
5322,,Campo Volantín / La Salve,,43.26928,-2.93043,,,0,
5323,,Kobetabidea 16,,43.26154,-2.96512,,,0,
5325,,Dr. Fleming 1,,43.25643,-2.93179,,,0,
5326,,Botika Zaharra / H. De La Torre,,43.26917,-2.94372,,,0,
5327,,Cortes 2,,43.25478,-2.92673,,,0,
5328,,Cortes 13,,43.25535,-2.92833,,,0,
5329,,Araneko 22,,43.27413,-2.94968,,,0,
5330,,Tiboli 1,,43.26623,-2.92551,,,0,
5331,,L. Aguirre 149,,43.27759,-2.96074,,,0,
5332,,Vía Vieja De Lezama 78,,43.26944,-2.91889,,,0,
5333,,Trauko 5,,43.26719,-2.92127,,,0,
5334,,Dr. Ornilla / Pau Casals,,43.25846,-2.90274,,,0,
5335,,Plaza Biribila / Gran Vía,,43.26142,-2.92742,,,0,
5336,,Gran Vía 74 / Basterra,,43.26484,-2.94309,,,0,
5337,,Puente Del Arenal,,43.25987,-2.92424,,,0,
5338,,Zamacola 168,,43.24095,-2.92113,,,0,
5339,,L. Aguirre 89 / Sarriko,,43.27488,-2.95877,,,0,
5340,,Vía Vieja De Lezama 93,,43.27263,-2.92591,,,0,
5341,,Gernika 24,,43.24933,-2.92786,,,0,
5342,,Maurice Ravel / T. Zubiria,,43.26751,-2.91824,,,0,
5343,,Artalandio 1 / Dr. Ornilla,,43.25631,-2.90386,,,0,
5344,,San Balentin Berriotxoa 1,,43.26603,-2.91811,,,0,
5345,,Hurtado Amézaga 1 / Geltokia - Estación,,43.26068,-2.92795,,,0,
5346,,Julián Gaiarre 61,,43.25731,-2.89926,,,0,
5347,,Gran Vía 40,,43.2633,-2.93608,,,0,
5348,,Zazpilanda / Bidegain,,43.27335,-2.97121,,,0,
5349,,Maurice Ravel 20 / Telefónica,,43.2655,-2.91691,,,0,
5350,,Botika Zaharra / H. De La Torre,,43.26925,-2.94381,,,0,
5351,,Txomin Garat 4,,43.25722,-2.90978,,,0,
5352,,Peñascal 146 / Rotonda,,43.2388,-2.94845,,,0,
5353,,Sendeja 5,,43.26266,-2.92304,,,0,
5354,,Errekalde - Larraskitu 14,,43.25084,-2.94215,,,0,
5355,,Fika 18,,43.25711,-2.91929,,,0,
5356,,Altamira,,43.26326,-2.96347,,,0,
